11:52:05.584 |  get_toc.py  | Line 172 | TRACE ➤ Parsed chapter 1014: The Malefic Viper vs Yip of Yore (2)
11:52:05.584 |  get_toc.py  | Line 110 | DEBUG ➤ Row 40:1 text: `Chapter 1015 - The Malefic Viper vs Yip of Yore (3)`
11:52:05.585 |  get_toc.py  | Line 172 | TRACE ➤ Parsed chapter 1015: The Malefic Viper vs Yip of Yore (3)
11:52:05.585 |  get_toc.py  | Line 110 | DEBUG ➤ Row 41:1 text: `Chapter 1016 - The Wall`
11:52:05.585 |  get_toc.py  | Line 172 | TRACE ➤ Parsed chapter 1016: The Wall
11:52:05.585 |  get_toc.py  | Line 110 | DEBUG ➤ Row 42:1 text: `Chapter 1017 - A Proper Reintroduction`
11:52:05.586 |  get_toc.py  | Line 172 | TRACE ➤ Parsed chapter 1017: A Proper Reintroduction
11:52:05.586 |  get_toc.py  | Line 110 | DEBUG ➤ Row 43:1 text: `Chapter 1018 - A Relationship Doomed From The Start`
11:52:05.586 |  get_toc.py  | Line 172 | TRACE ➤ Parsed chapter 1018: A Relationship Doomed From The Start
11:52:05.586 |  get_toc.py  | Line 110 | DEBUG ➤ Row 44:1 text: `Chapter 1019 - Chaos Across the Milky Way`
11:52:05.586 |  get_toc.py  | Line 172 | TRACE ➤ Parsed chapter 1019: Chaos Across the Milky Way
11:52:05.586 |  get_toc.py  | Line 110 | DEBUG ➤ Row 45:1 text: `Chapter 1020 - Gifts From the Heavens`
11:52:05.587 |  get_toc.py  | Line 172 | TRACE ➤ Parsed chapter 1020: Gifts From the Heavens
11:52:05.587 |  get_toc.py  | Line 110 | DEBUG ➤ Row 46:1 text: `Chapter 1021 - A Hot Way Down`
11:52:05.587 |  get_toc.py  | Line 172 | TRACE ➤ Parsed chapter 1021: A Hot Way Down
11:52:05.587 |  get_toc.py  | Line 110 | DEBUG ➤ Row 47:1 text: `Chapter 1022 - Bargain & Choice`
11:52:05.587 |  get_toc.py  | Line 172 | TRACE ➤ Parsed chapter 1022: Bargain & Choice
11:52:05.587 |  get_toc.py  | Line 110 | DEBUG ➤ Row 48:1 text: `Chapter 1023 - Worthy of Being Called Rivals`
11:52:05.588 |  get_toc.py  | Line 172 | TRACE ➤ Parsed chapter 1023: Worthy of Being Called Rivals
11:52:05.588 |  get_toc.py  | Line 110 | DEBUG ➤ Row 49:1 text: `Chapter 1024 - Jake Thayne vs Ell'Hakan (1)`
11:52:05.588 |  get_toc.py  | Line 172 | TRACE ➤ Parsed chapter 1024: Jake Thayne vs Ell'Hakan (1)
11:52:05.588 |  get_toc.py  | Line 110 | DEBUG ➤ Row 50:1 text: `Chapter 1025 - Jake Thayne vs Ell'Hakan (2)`
11:52:05.589 |  get_toc.py  | Line 172 | TRACE ➤ Parsed chapter 1025: Jake Thayne vs Ell'Hakan (2)
11:52:05.589 |  get_toc.py  | Line 110 | DEBUG ➤ Row 51:1 text: `Chapter 1026 - Jake Thayne vs Ell'Hakan (3)`
11:52:05.589 |  get_toc.py  | Line 172 | TRACE ➤ Parsed chapter 1026: Jake Thayne vs Ell'Hakan (3)
11:52:05.589 |  get_toc.py  | Line 110 | DEBUG ➤ Row 52:1 text: `Chapter 1027 - Jake Thayne vs Ell'Hakan (4)`
11:52:05.589 |  get_toc.py  | Line 172 | TRACE ➤ Parsed chapter 1027: Jake Thayne vs Ell'Hakan (4)
